date,item,title,authors,dollars,classification
2024-12-10,1,Minutes for Approval,,,8
2024-12-10,2,Contract: CVL Economics for a Study of the Economic Impact of the Arts in Berkeley,,"$119,300.00",3
2024-12-10,3,Contract: Kala Art Institute for Framed Artwork Purchase Plan for City Buildings,,"$50,000.00",3
2024-12-10,4,Contract: Masako Miki Public Artwork Commission for Aquatic Park Pathway Wall,,"$87,000.00",2
2024-12-10,5,"Formal Bid Solicitations and Request for Proposals Scheduled for Possible Issuance After Council Approval on December 10, 2024",,,8
2024-12-10,6,Establish Classification and Salary – Senior Paralegal,,"$218,828.00",2
2024-12-10,7,Revise Job Class Specifications – Communications Specialist,,,2
2024-12-10,8,Personnel Rule 9.03 Revision: Promotion Through a Non-Competitive Process,,,9
2024-12-10,9,Contract No. 32400151 Amendment: SDR Consulting for Classification and Compensation Services,,"$150,000.00",2
2024-12-10,10,"Accept Grant Funds from the U.S. Department of Energy’s Zero Codes Award and contract with City and County of San Francisco to develop, implement, and enforce Building Performance Standards",,"$5,729,943.00",1
2024-12-10,11,"Contract No. 112219-1 Amendment: Siemens Industry, Inc. for Fire and Life Safety Systems Maintenance",,"$800,000.00",1
2024-12-10,12,Contract: Terocons Inc. for Sacramento Street Pedestrian Safety Project,,"$973,638.00",1
2024-12-10,13,"Contract No. 32000078 Amendment: DC Electric Group, Inc for On-Call Electrical Services",,"$975,000.00",8
2024-12-10,14,"Contract: Stommel Inc., dba Lehr for Hybrid Police Patrol Vehicles Supplies, Equipment, and Installation Services",,"$400,000.00",1
2024-12-10,15,Purchase Order: Braun Northwest Inc. for Two (2) 2025 Ford F-450 North Star Engine Remount of Ambulance Bodies to New Chassis,,"$430,000.00",8
2024-12-10,16,"Agreement Regarding Allocation of Costs for Railroad Crossing Improvements for W-SW WBLS West Owner IX, L.P., a California limited liability company and the City",,,8
2024-12-10,17,Grant Applications: Metropolitan Transportation Commission Housing Incentive Pool,,"$4,950,000.00",2
2024-12-10,18,"Establishing a New Schedule of Fines and Late Payment Penalties for Parking Violations; and Rescinding Resolution No. 70,924-N.S.",,,2
2024-12-10,19,City Council Committee and Regional Body Appointments,,,8
2024-12-10,1,"Confirming the Results of the November 5, 2024, General Municipal Election",,,8
2025-01-21,5,Contract No. 32400129 Amendment: IGM Technology Corporation for Digital Budget Book Services,,"$130,406.00",8
