date,meeting_file,section,item_number,item_title,authors,dollar_total,recommendation,prelabel,framework_category,category_label,reason,label,override_category,notes
2024-12-10,2024-12-10-regular.json,consent,4,Contract: Masako Miki Public Artwork Commission for Aquatic Park Pathway Wall,City Manager,87000,"Adopt a Resolution authorizing the City Manager to execute a contract and any necessary amendments with artist Masako Miki for an amount not to exceed $87,000 for a public art commission of a ceramic tile mural on the 42’-long curved wall located along the San Francisco Bay Trail west of the interse",adds_non_core,1E,Cultural / nonprofit grant ecosystem,arts/cultural grant or program,,,
2025-01-21,2025-01-21-regular.json,consent,7,Contract: Julie W. Chang Public Artwork Commission for Willard Clubhouse,City Manager,150000,"Adopt a Resolution authorizing the City Manager to execute a contract and any necessary amendments with artist Julie W. Chang for an amount not to exceed $150,000 for a public art commission of a mosaic mural on the 18’-5” wide by 10’ tall interior lobby wall located in the Willard Clubhouse at the ",adds_non_core,1E,Cultural / nonprofit grant ecosystem,arts/cultural grant or program,,,
2025-01-21,2025-01-21-regular.json,consent,8,"Acceptance of a $40,000 Grant from the National Endowment for the Arts to enhance Civic Arts Grant Programing",City Manager,120000,"Adopt a Resolution accepting a $40,000 grant from the National Endowment for the Arts (NEA). The grant will be used to support a Civic Arts grant program totaling $80,000 to be expended in Fiscal Year 2026 (FY26). This will be the second annual implementation of the new program designed to support t",adds_non_core,1E,Cultural / nonprofit grant ecosystem,arts/cultural grant or program,,,
2025-01-21,2025-01-21-regular.json,action,23,California Municipal Finance Authority Bond Financing for 2001 Ashby Avenue,City Manager,0,"Conduct a public hearing under the requirements of the Tax Equity and Fiscal Responsibility Act of 1982 (TEFRA) and the Internal Revenue Code of 1986, as amended, and upon conclusion, adopt a Resolution approving the issuance of additional bonds, increasing the total amount of bonds to be issued for",revenue_seeking,,,bond/tax/ballot measure,,,
2025-02-25,2025-02-25-regular.json,consent,6,Berkeley Police Association – Amendments to Retiree Medical Benefits,City Manager,0,"Adopt a Resolution approving a side letter between the City of Berkeley and the Berkeley Police Association amending Sections 32.3, 32.5, and 32.6 of the City’s Memorandum of Understanding (MOU) with the union to expand and clarify existing provisions that pertain to retiree health benefits.",entrenches_cost_premium,3E,Administrative overhead,labor agreement/MOU — locks in compensation and pension carry cost,,,
2025-03-11,2025-03-11-regular.json,consent,13,Berkeley Chief Fire Officers Association Side Letter – Battalion Coverage,City Manager,0,Adopt a Resolution approving a side letter with Berkeley Chief Fire Officers Association adding Section 2.1.14 (Battalion Coverage) to the City’s Memorandum of Understanding with the union.,entrenches_cost_premium,3E,Administrative overhead,labor agreement/MOU — locks in compensation and pension carry cost,,,
2025-03-18,2025-03-18-regular.json,consent,7,Establishing a Measure FF SAFE STREETS Citizen Oversight Committee,City Manager,0,"Adopt a Resolution: 1. Establishing a SAFE STREETS Citizen Oversight Committee (SSCOC) to review expenditures and progress reports from the City Manager and City Auditor to ensure compliance with the intent of Measure FF, passed by voters on November 5, 2024, evaluating the impacts and outcomes of t",p1_direct,,,directly addresses P1 infrastructure/fiscal problem,,,
2025-03-25,2025-03-25-special.json,action,2,Pavement Management & Infrastructure Planning Presentation,"City Manager Contact: Terrance Davis, Public Works, (510) 981-6300",0,,p1_direct,,,directly addresses P1 infrastructure/fiscal problem,,,
2025-04-15,2025-04-15-regular.json,council_consent,23,Climate Action Plan and Resilience Update,"City Manager Contact: Jordan Klein, Planning and Development, (510) 981-7400",0,,adds_non_core,2C,Climate / sustainability administration,climate/sustainability program,,,
2025-04-29,2025-04-29-regular.json,consent,12,"Contract: Bay Cities Paving & Grading, Inc. for FY 2025 Street Maintenance and Rehabilitation Project",City Manager,12323848,"Adopt a Resolution: 1. Approving plans and specifications for the FY 2025 Street Maintenance and Rehabilitation Project, Specification No. 25-11690-C; 2. Accepting the bid of Bay Cities Paving & Grading, Inc.  as the lowest, responsive and responsible bidder; and 3. Authorizing the City Manager to e",p1_direct,,,street paving/rehab contract,,,
2025-06-03,2025-06-03-regular.json,consent,16,Contract: Cazadero Performing Arts Camp (CPAC) for Erosion Control Improvements,City Manager,200000,"Adopt a Resolution authorizing the City Manager or his designee to execute a contract and any amendments with Cazadero Performing Arts Camp (CPAC) for creek erosion repair in an amount not to exceed $200,000.",adds_non_core,1E,Cultural / nonprofit grant ecosystem,arts/cultural grant or program,,,
2025-06-03,2025-06-03-regular.json,action,29,"Section 115 Trust Investment Report from Inception to Period Ended June 30, 2024","City Manager Contact: Henry Oyekanmi, Finance, (510) 981-7300",0,,p1_direct,,,directly addresses P1 infrastructure/fiscal problem,,,
2025-06-17,2025-06-17-regular.json,consent,17,FY 2026 Special Tax Rate: Fund the Provision of Library Relief Act,City Manager,0,"Adopt first reading of an ordinance setting the FY 2026 tax rate for the Library Relief Act of 2024, approved by Berkeley voters in the November 2024 election, for funding the provision of Library Services in the City of Berkeley at $0.06 (6.00 cents) per square foot for dwelling units and $0.09 (9.",revenue_seeking,,,bond/tax/ballot measure,,,
2025-06-17,2025-06-17-regular.json,consent,18,FY 2026 Special Tax Rate: Fund the Provision of Library Services,City Manager,0,"Adopt first reading of an ordinance setting the FY 2026 tax rate for funding the provision of Library Services in the City of Berkeley at $0.2980 (29.80 cents) per square foot for dwelling units and $0.4506 (45.06 cents) per square foot for industrial, commercial, and institutional buildings.",revenue_seeking,,,bond/tax/ballot measure,,,
2025-06-17,2025-06-17-regular.json,consent,21,Civic Arts Commission General Fund Request for Continuation of Poet Laureate Program in FY26 & FY27,Civic Arts Commission,50000,"The Civic Arts Commission requests that the City Council allocate a total of $25,000 in the annual budget of the General Fund over two fiscal years to support the continuation of the City of Berkeley’s Poet Laureate Program: - FY26: $20,000 for Selection Process (including staff time) and Poet Laure",adds_non_core,1E,Cultural / nonprofit grant ecosystem,arts/cultural grant or program,,,
